year,region,elec_tot,elec_res,elec_serv,elec_ind,gdp,pop
1997,DJ,4169.270,941.649,1700.420,1527.201,20894508.000,1338886.000
1997,PU,11450.156,2735.803,3727.580,4986.773,47291520.000,3803326.000
1997,SE,27314.635,8069.223,16251.268,2994.144,204816198.000,10115549.000
1997,SJ,,,,,,
1997,UL,,,,,,1015754.000
1997,IC,12118.886,1765.638,2201.407,8151.841,43341199.000,2421017.000
1997,JN,11493.500,1283.896,1598.151,8611.453,46754746.000,2065371.000
1997,JB,8734.206,1251.252,1657.801,5825.153,28700006.000,1922565.000
1997,JJ,1319.902,324.309,646.098,349.495,8057569.000,516212.000
1997,CN,10292.421,1066.069,1685.891,7540.461,36555909.000,1831009.000
1997,CB,9363.426,926.033,1284.952,7152.441,24840759.000,1451658.000
1998,GW,7427.165,1009.544,1907.552,4510.069,24050209.000,1501714.000
1998,GG,33612.776,6205.397,9592.113,17815.266,116843281.000,8681978.000
1998,GN,14129.569,2071.641,2795.297,9262.631,47958037.000,3000399.000
1998,GB,20701.376,1722.835,2581.301,16397.240,41615486.000,2759045.000
1998,GJ,3371.967,916.146,1332.606,1123.215,16743576.000,1340506.000
1998,DG,8279.241,1779.930,2349.245,4150.066,28738612.000,2502146.000
1998,DJ,4139.120,946.671,1698.951,1493.498,19922027.000,1358370.000
1998,PU,10948.496,2749.077,3751.945,4447.474,44426186.000,3775121.000
1998,SE,26161.720,8040.599,15587.958,2533.163,195891236.000,10051237.000
1998,SJ,,,,,,
1998,UL,13639.495,687.582,773.165,12178.748,43126637.000,1023077.000
1998,IC,11569.386,1791.424,2254.093,7523.869,37317452.000,2464340.000
1998,JN,11746.235,1301.349,1684.768,8760.118,44321517.000,2060842.000
1998,JB,8516.305,1264.281,1711.292,5540.732,26187025.000,1924972.000
1998,JJ,1371.404,326.591,658.305,386.508,7456360.000,519160.000
1998,CN,9311.633,1153.342,1716.836,6441.455,34724126.000,1854333.000
1998,CB,8544.450,946.191,1334.237,6264.022,22690502.000,1469263.000
1999,GW,8213.597,1065.042,2291.403,4857.152,25204250.000,1512746.000
1999,GG,38031.741,6672.441,11196.043,20163.257,140742745.000,8892806.000
1999,GN,30976.107,2817.319,4175.694,23983.094,53563712.000,3020469.000
1999,GB,22537.412,1813.117,2747.710,17976.585,47828898.000,2770743.000
1999,GJ,3766.360,958.044,1523.066,1285.250,18092047.000,1361160.000
1999,DG,9215.520,1847.543,2627.732,4740.245,31512976.000,2511610.000
1999,DJ,4713.997,1014.506,1924.654,1774.837,21139402.000,1377545.000
1999,PU,11296.856,2732.471,4223.278,4341.107,49763153.000,3752322.000
1999,SE,28447.238,8518.159,17178.443,2750.636,213043805.000,10035810.000
1999,SJ,,,,,,
1999,UL,,,,,47763922.000,1026735.000
1999,IC,12921.985,1887.709,2650.042,8384.234,40446510.000,2494341.000
1999,JN,13160.128,1344.825,1938.432,9876.871,45036095.000,2055210.000
1999,JB,9428.292,1329.686,1997.294,6101.312,28618114.000,1929570.000
1999,JJ,1471.810,329.221,710.536,432.053,7957145.000,522398.000
1999,CN,10520.729,1246.114,2005.955,7268.660,40169928.000,1869746.000
1999,CB,9513.085,1004.483,1584.921,6923.681,26115197.000,1483466.000
2000,GW,9145.541,1134.869,2938.349,5072.323,26145825.000,1515605.000
2000,GG,43885.163,7369.773,13682.648,22832.742,157417148.000,9146445.000
2000,GN,17038.616,2224.408,3949.791,10864.417,57821766.000,3035571.000
2000,GB,24805.744,1946.818,3330.348,19528.578,54673687.000,2773340.000
2000,GJ,4279.227,1058.846,1776.299,1444.082,19742330.000,1382426.000
2000,DG,10189.994,2016.259,3115.840,5057.895,33378959.000,2528863.000
2000,DJ,5289.144,1107.498,2341.298,1840.348,23066261.000,1396869.000
2000,PU,12409.397,2654.370,5113.529,4641.498,51705541.000,3732630.000
2000,SE,31395.005,9191.996,19312.198,2890.811,234450139.000,10078434.000
2000,SJ,,,,,,
2000,UL,17236.182,722.380,1203.156,15310.646,49333661.000,1035658.000
2000,IC,14195.025,2045.654,3061.033,9088.338,43019365.000,2522462.000
2000,JN,14410.927,1425.116,2372.537,10613.274,47559118.000,2034970.000
2000,JB,10592.299,1417.395,2472.979,6701.925,30236753.000,1927005.000
2000,JJ,1704.935,353.504,835.689,515.742,8587855.000,524182.000
2000,CN,12235.851,1353.099,2618.952,8263.800,44559007.000,1879274.000
2000,CB,10722.434,1080.326,2048.748,7593.360,27699659.000,1494377.000
2001,GW,10227.934,1195.067,3783.942,5248.925,26668912.000,1516664.000
2001,GG,48583.251,7986.668,16381.081,24215.502,171443115.000,9451079.000
2001,GN,18295.403,2349.260,4638.419,11307.724,61928632.000,3047627.000
2001,GB,25925.963,2034.426,4656.424,19235.113,56490106.000,2756966.000
2001,GJ,4639.097,1126.146,1997.769,1515.182,20828849.000,1401954.000
2001,DG,10544.475,2105.116,3545.530,4893.829,34134803.000,2535374.000
2001,DJ,5771.636,1187.597,2707.645,1876.394,23813574.000,1417579.000
2001,PU,13423.022,2800.808,5788.027,4834.187,55382619.000,3716425.000
2001,SE,33321.290,9535.209,20958.111,2827.970,244418894.000,10091137.000
2001,SJ,,,,,,
2001,UL,17695.778,778.745,1542.826,15374.207,50423452.000,1046883.000
2001,IC,14963.885,2155.977,3543.672,9264.236,46255108.000,2550919.000
2001,JN,15653.924,1494.913,3053.317,11105.694,49464042.000,2011610.000
2001,JB,11247.612,1495.531,3065.049,6687.032,31465262.000,1916308.000
2001,JJ,1955.032,375.389,943.350,636.293,9200210.000,528553.000
2001,CN,13835.151,1444.105,3545.097,8845.949,46432861.000,1881811.000
2001,CB,11647.859,1146.271,2578.556,7923.032,28294054.000,1499275.000
2002,GW,11105.286,1285.680,4322.754,5496.852,27377155.000,1510448.000
2002,GG,53908.880,8938.673,18640.561,26329.646,186126487.000,9813893.000
2002,GN,20144.322,2537.849,5287.851,12318.622,66357305.000,3069947.000
