serial,address,lat,lon
V02Q1940262,서울특별시 관악구 봉천동 872-23,37.48342803,126.9494608
V02Q1940452,서울특별시 관악구 봉천동 1560-63,37.47889253,126.9444627
V02Q1940272,서울특별시 관악구 봉천동 1693-56,37.47883954,126.9612446
V02Q1940458,서울특별시 관악구 봉천동 산 56-3,37.47642155,126.9577757
V02Q1940532,서울특별시 관악구 신림동 646-449,37.47072788,126.9217951
V02Q1940683,서울특별시 관악구 신림동 1736-12,37.46211823,126.9191588
V02Q1940663,서울특별시 관악구 남현동 1086-1,37.47474727,126.9777859
V02Q1940552,서울특별시 관악구 신림동 808-169,37.47639433,126.9156696
V02Q1940444,서울특별시 관악구 봉천동 661-38,37.4886003,126.9326409
V02Q1940557,서울특별시 관악구 신림동 808-502,37.46927712,126.9316363
V02Q1940512,서울특별시 관악구 신림동 408-35,37.47556168,126.9348911
V02Q1940445,서울특별시 관악구 신림동 90-67,37.48039207,126.9323552
V02Q1940657,서울특별시 관악구 봉천동 823,37.48976067,126.9478324
V02Q1940465,서울특별시 관악구 신림동 244-17,37.46851957,126.9400472
V02Q1940468,서울특별시 관악구 봉천동 1706,37.48432967,126.9594576
V02Q1940446,서울특별시 관악구 봉천동 980-1,37.48043211,126.9532678
V02Q1940260,서울특별시 관악구 신림동 251-241,37.46485258,126.9398992
V02Q1940517,서울특별시 관악구 신원로 3다길 1,37.48248622,126.9264971
V02Q1940658,서울특별시 관악구 신림동 1586-1,37.48355726,126.9256695
V02Q1940457,서울특별시 관악구 신림동 산 156-9,37.47319485,126.931912
V02Q1940462,서울특별시 관악구 신림동 1469-7,37.48937978,126.9223696
V02Q1940548,서울특별시 관악구 봉천동 산 146-28,37.49124583,126.930777
V02Q1940493,서울특별시 관악구 봉천동 622-1,37.48706543,126.9420381
V02Q1940694,서울특별시 관악구 봉천동 981-9,37.48024081,126.9427081
V02Q1940558,서울특별시 관악구 봉천동 981-4,37.47970435,126.9474737
V02Q1940547,서울특별시 관악구 봉천동 1693-42,37.47779149,126.9552974
V02Q1940672,서울특별시 관악구 신림동 1469-4,37.48797466,126.9258106
V02Q1940549,서울특별시 관악구 신림동 598-8,37.47563756,126.9221587
V02Q1940704,서울특별시 관악구 신림동 676-30,37.4632734,126.9180757
V02Q1940689,서울특별시 관악구 봉천동 981-13,37.48334526,126.9377988
V02Q1940671,서울특별시 관악구 신림동 1714,37.46377035,126.9256905
V02Q1940725,서울특별시 관악구 신림동 1676-17,37.47982135,126.9023653
V02Q1940678,서울특별시 관악구 봉천동 979-7,37.48258121,126.942046
V02Q1940681,서울특별시 관악구 남현동 1071-41,37.47559625,126.9735982
V02Q1940669,서울특별시 관악구 남현동 1060-1,37.4764274,126.9801351
V02Q1940537,서울특별시 관악구 봉천동 1693-29,37.47564681,126.952494
V02Q1940633,서울특별시 관악구 신림동 237-30,37.47051139,126.9409596
V02Q1940589,서울특별시 관악구 신림동 408-2,37.47647508,126.9364676
V02Q1940680,서울특별시 관악구 봉천동 970-21,37.48932572,126.928863
V02Q1940667,서울특별시 관악구 봉천동 728-1,37.49265835,126.9269739
V02Q1940703,서울특별시 관악구 신림동 1475-55,37.48063434,126.9145819
V02Q1940701,서울특별시 관악구 신림동 808-173,37.47373839,126.9176609
V02Q1940676,서울특별시 관악구 신림동 산 102-9,37.4588853,126.9225194
V02Q1940682,서울특별시 관악구 신림동 산 87-17,37.46188726,126.9244554
V02Q1940269,서울특별시 관악구 신림동 1513-7,37.47174062,126.9331557
V02Q1940645,서울특별시 관악구 신림동 320,37.46153901,126.9302475
V02Q1940550,서울특별시 관악구 봉천동 458-42,37.48634806,126.9514941
V02Q1940673,서울특별시 관악구 신림동 495,37.4879962,126.9182374
V02Q1940677,서울특별시 관악구 신림동 1648-3,37.48458746,126.9070348
V02Q1940510,서울특별시 관악구 봉천동 1718-10,37.49267131,126.9452685
V02Q1940555,서울특별시 관악구 봉천동 738-360,37.48547764,126.9474934
V02Q1940660,서울특별시 관악구 신림동 1469-9,37.48712943,126.923453
V02Q1940666,서울특별시 관악구 봉천동 178-178,37.47047152,126.9679543
V02Q1940685,서울특별시 관악구 신림동 808-266,37.47839602,126.9162619
V02Q1940652,서울특별시 관악구 신림동 1675-8,37.48370843,126.9025203
V02Q1940591,서울특별시 관악구 봉천동 1573-12,37.47891044,126.9492525
V02Q1940560,서울특별시 동작구 상도동 124,37.49247703,126.9563107
V02Q1940675,서울특별시 관악구 봉천동 1693-13,37.47827679,126.9395729
V02Q1940692,서울특별시 관악구 봉천동 635-383,37.49049222,126.9414301
V02Q1940662,서울특별시 관악구 봉천동 850-3,37.47572644,126.9425353
V02Q1940691,서울특별시 관악구 신림동 1698,37.46625325,126.9307404
V02Q1940884,서울특별시 관악구 신림동 1439-3,37.48739741,126.9271244
V02Q1941000,서울특별시 관악구 신림동길 14,37.4871672,126.9259298
OC3CL200189,서울특별시 관악구 신림동 1627-11,37.47906596,126.9265235
OC3CL200173,서울특별시 관악구 조원동 537-33,37.48248677,126.9141546
OC3CL200028,서울특별시 관악구 봉천동 1603-4,37.47915422,126.9537097
V02Q1940202,서울특별시 광진구 중곡동 665,37.56011938,127.0795379
V02Q1940280,서울특별시 광진구 중곡동 265-8,37.56197559,127.0850326
V02Q1940200,서울특별시 광진구 중곡동 695,37.56850197,127.0801045
V02Q1940209,서울특별시 광진구 중곡동 452-1,37.55902487,127.0901207
V02Q1940305,서울특별시 광진구 능동 156-2,37.55314962,127.0805438
V02Q1940327,서울특별시 광진구 구의동 237-10,37.54225653,127.0851136
V02Q1940294,서울특별시 광진구 구의동 113,37.54816059,127.0896827
V02Q1940392,서울특별시 광진구 구의동 217-16,37.53828664,127.0923968
V02Q1940371,서울특별시 광진구 광장동 248-23,37.54667759,127.1034537
V02Q1940403,서울특별시 광진구 자양동 630,37.53430907,127.0819856
V02Q1940391,서울특별시 광진구 자양동 668,37.5286168,127.0851212
V02Q1940393,서울특별시 광진구 자양동 520-2,37.53348826,127.0730061
V02Q1940383,서울특별시 광진구 자양동 831-1,37.53328566,127.0656475
V02Q1940204,서울특별시 광진구 화양동 111-140,37.54669635,127.0720365
V02Q1940134,서울특별시 광진구 군자동 55-1,37.55579789,127.0758197
V02Q1940387,서울특별시 광진구 화양동 4-20,37.54005404,127.0709793
V02Q1940416,서울특별시 광진구 구의동 617-45,37.54776822,127.0863736
V02Q1940888,서울특별시 광진구 중곡동 265-5,37.56307353,127.0819947
V02Q1940506,서울특별시 광진구 구의동 546-11,37.53508967,127.0932207
V02Q1940815,서울특별시 광진구 자양동 427-28,37.52999155,127.0710049
V02Q1940812,서울특별시 광진구 광장동 556,37.54983788,127.1104882
V02Q1940779,서울특별시 광진구 구의동 164,37.54495873,127.0943048
OC3CL200012,서울특별시 광진구 화양동 34-75,37.54400194,127.0697313
OC3CL200029,서울특별시 광진구 구의동 246-8,37.53768025,127.0852125
OC3CL200190,서울특별시 광진구 광장동 328-2,37.54768518,127.106921
OC3CL200142,서울특별시 광진구 중곡동 485-7,37.56718217,127.0771395
OC3CL200143,서울특별시 광진구 중곡동 72-59,37.56233608,127.0960647
V02Q1940046,서울특별시 구로구 수궁동 212-15,37.49440262,126.8314721
V02Q1940111,서울특별시 구로구 신도림동 292-212,37.50929949,126.8783801
V02Q1940165,서울특별시 구로구 오류동 38-29,37.49689198,126.8437271
V02Q1940056,서울특별시 구로구 오류동 182-22,37.48743033,126.8385274
V02Q1940047,서울특별시 구로구 가리봉동 132-53,37.48214478,126.8893389
V02Q1940050,서울특별시 구로구 개봉동 139-54,37.49954171,126.8507733
V02Q1940054,서울특별시 구로구 개봉동 328-23,37.49049118,126.8553777
V02Q1940051,서울특별시 구로구 개봉동 375-4,37.48455732,126.8537096
V02Q1940086,서울특별시 구로구 고척동 73-3,37.49775403,126.8633107
V02Q1940065,서울특별시 구로구 고척동 283-2,37.50568303,126.8586102
V02Q1940045,서울특별시 구로구 구로동 1259,37.48958795,126.8764395
V02Q1940043,서울특별시 구로구 구로동 704-13,37.49002864,126.8835537
V02Q1940052,서울특별시 구로구 구로동 777-34,37.48718079,126.8896263
