year,region,elec_tot,elec_res,elec_serv,elec_ind,gdp,pop
2000,광주,4279.227,1058.846,1776.299,1444.082,19742330,1382426
2000,대구,10189.994,2016.259,3115.840,5057.895,33378959,2528863
2000,대전,5289.144,1107.498,2341.298,1840.348,23066261,1396869
2000,부산,12409.397,2654.370,5113.529,4641.498,51705541,3732630
2000,서울,31395.005,9191.996,19312.198,2890.811,234450139,10078434
2000,세종,,,,,,
2000,울산,17236.182,722.380,1203.156,15310.646,49333661,1035658
2000,인천,14195.025,2045.654,3061.033,9088.338,43019365,2522462
2000,전남,14410.927,1425.116,2372.537,10613.274,47559118,2034970
2000,전북,10592.299,1417.395,2472.979,6701.925,30236753,1927005
2000,제주,1704.935,353.504,835.689,515.742,8587855,524182
2000,충남,12235.851,1353.099,2618.952,8263.800,44559007,1879274
2000,충북,10722.434,1080.326,2048.748,7593.360,27699659,1494377
2001,강원,10227.934,1195.067,3783.942,5248.925,26668912,1516664
2001,경기,48583.251,7986.668,16381.081,24215.502,171443115,9451079
2001,경남,18295.403,2349.260,4638.419,11307.724,61928632,3047627
2001,경북,25925.963,2034.426,4656.424,19235.113,56490106,2756966
2001,광주,4639.097,1126.146,1997.769,1515.182,20828849,1401954
2001,대구,10544.475,2105.116,3545.530,4893.829,34134803,2535374
2001,대전,5771.636,1187.597,2707.645,1876.394,23813574,1417579
2001,부산,13423.022,2800.808,5788.027,4834.187,55382619,3716425
2001,서울,33321.290,9535.209,20958.111,2827.970,244418894,10091137
2001,세종,,,,,,
2001,울산,17695.778,778.745,1542.826,15374.207,50423452,1046883
2001,인천,14963.885,2155.977,3543.672,9264.236,46255108,2550919
2001,전남,15653.924,1494.913,3053.317,11105.694,49464042,2011610
2001,전북,11247.612,1495.531,3065.049,6687.032,31465262,1916308
2001,제주,1955.032,375.389,943.350,636.293,9200210,528553
2001,충남,13835.151,1444.105,3545.097,8845.949,46432861,1881811
2001,충북,11647.859,1146.271,2578.556,7923.032,28294054,1499275
2002,강원,11105.286,1285.680,4322.754,5496.852,27377155,1510448
2002,경기,53908.880,8938.673,18640.561,26329.646,186126487,9813893
2002,경남,20144.322,2537.849,5287.851,12318.622,66357305,3069947
2002,경북,28289.834,2169.113,5464.474,20656.247,60328507,2736510
2002,광주,5090.958,1217.553,2232.551,1640.854,22420270,1421613
2002,대구,11219.611,2232.608,3915.165,5071.838,35743105,2530953
2002,대전,6210.507,1276.769,2997.173,1936.565,25497366,1433562
2002,부산,14270.036,2983.041,6242.906,5044.089,57866997,3684942
2002,서울,34882.646,10096.045,21879.249,2907.352,261328220,10049183
2002,세종,,,,,,
2002,울산,18825.229,846.371,1788.851,16190.007,55068266,1056936
2002,인천,16099.983,2331.666,3921.524,9846.793,50972798,2571760
2002,전남,16076.906,1577.964,3371.223,11127.719,52071978,1962797
2002,전북,12019.475,1598.217,3485.146,6936.112,32419090,1895902
2002,제주,2174.770,401.268,1060.076,713.426,9693184,533737
2002,충남,15447.795,1549.221,4126.682,9771.892,50205811,1876693
2002,충북,12685.134,1236.261,2983.131,8465.742,29656804,1495860
2003,강원,11899.000,1368.000,4790.000,5741.000,28861908,1501318
2003,경기,57940.000,9748.000,20689.000,27503.000,196745165,10149261
2003,경남,21303.000,2696.000,5736.000,12871.000,68827444,3094681
2003,경북,29582.000,2260.000,5778.000,21544.000,65372870,2704590
2003,광주,5337.000,1291.000,2358.000,1688.000,22585186,1431964
2003,대구,11471.000,2335.000,4158.000,4978.000,36396595,2531930
2003,대전,6503.000,1286.000,3275.000,1942.000,26757005,1453216
2003,부산,14764.000,3133.000,6553.000,5078.000,59924431,3648852
2003,서울,36163.000,10483.000,22904.000,2776.000,266033918,10041419
2003,세종,,,,,,
2003,울산,19629.000,903.000,1935.000,16791.000,54100049,1062369
2003,인천,16920.000,2397.000,4315.000,10208.000,52157498,2573467
2003,전남,16671.000,1647.000,3536.000,11488.000,52730314,1928685
2003,전북,12412.000,1659.000,3665.000,7088.000,32768805,1870827
2003,제주,2365.000,430.000,1174.000,761.000,9960579,536599
2003,충남,17584.000,1641.000,4546.000,11397.000,55468963,1871998
2003,충북,13052.000,1295.000,3225.000,8532.000,30693993,1491154
2004,강원,12051.000,1469.000,4978.000,5604.000,29386767,1496907
2004,경기,62759.000,10764.000,22649.000,29346.000,208742156,10415516
2004,경남,22553.000,2949.000,6179.000,13425.000,71667409,3101595
2004,경북,31446.000,2416.000,6195.000,22835.000,69948144,2669505
2004,광주,5762.000,1371.000,2534.000,1857.000,23198230,1444682
2004,대구,11904.000,2500.000,4440.000,4964.000,38364894,2533260
2004,대전,6897.000,1430.000,3440.000,2027.000,27540951,1460948
2004,부산,15479.000,3669.000,6584.000,5226.000,61227100,3623903
2004,서울,38213.000,11222.000,24334.000,2657.000,269197325,10051611
2004,세종,,,,,,
2004,울산,20576.000,1062.000,2005.000,17509.000,59706880,1067380
2004,인천,17649.000,2587.000,4549.000,10513.000,54987798,2571244
2004,전남,17830.000,1753.000,3808.000,12269.000,55586311,1881050
2004,전북,13128.000,1761.000,3837.000,7530.000,33844818,1843031
2004,제주,2562.000,473.000,1259.000,830.000,10579746,539405
2004,충남,19420.000,1789.000,4840.000,12791.000,60583607,1891842
2004,충북,13865.000,1399.000,3509.000,8957.000,33573276,1490640
2005,강원,12379.005,1532.894,5459.654,5386.457,29695748,1488881
2005,경기,68750.378,11423.914,25111.423,32215.041,222816035,10625127
2005,경남,24093.883,3092.788,6849.578,14151.517,76018607,3110041
2005,경북,33161.128,2522.787,6676.433,23961.908,74596282,2651702
2005,광주,6205.053,1437.955,2719.216,2047.882,24953345,1445390
2005,대구,12363.357,2578.233,4824.203,4960.921,39039831,2509168
2005,대전,7252.938,1504.564,3666.163,2082.211,28061744,1469868
2005,부산,16588.952,3853.325,7083.548,5652.079,63032743,3590291
2005,서울,40523.741,11600.996,26317.743,2605.002,280676032,10028631
2005,세종,,,,,,
2005,울산,20851.718,1117.053,2156.722,17577.943,61626834,1071339
2005,인천,18165.059,2691.433,4926.544,10547.082,56922112,2581406
2005,전남,18803.153,1816.841,4049.954,12936.358,56104942,1851257
2005,전북,13592.737,1829.130,4148.305,7615.302,34414457,1816604
2005,제주,2768.073,503.049,1377.118,887.906,10530282,541833
2005,충남,22449.469,1903.607,5471.769,15074.093,66603884,1918287
2005,충북,14464.184,1464.468,3888.810,9110.906,33307920,1484736
2006,강원,12994.000,1573.000,5840.000,5581.000,31550828,1481855
2006,경기,73311.000,11933.000,26787.000,34591.000,242756988,10853412
2006,경남,25382.000,3221.000,7357.000,14804.000,80266127,3123201
2006,경북,34011.000,2596.000,7132.000,24283.000,77440727,2652689
2006,광주,6441.000,1505.000,2816.000,2120.000,26193910,1448384
2006,대구,12622.000,2654.000,5048.000,4920.000,40255437,2490045
2006,대전,7506.000,1550.000,3820.000,2136.000,29074607,1481261
2006,부산,17218.000,3947.000,7381.000,5890.000,65299325,3563009
2006,서울,41824.000,11827.000,27452.000,2545.000,292392945,10057373
2006,세종,,,,,,
2006,울산,21556.000,1160.000,2299.000,18097.000,62869561,1076340
2006,인천,18696.000,2762.000,5205.000,10729.000,59522631,2606698
2006,전남,19502.000,1856.000,4338.000,13308.000,57944653,1829648
2006,전북,14408.000,1886.000,4425.000,8097.000,36053645,1801414
2006,제주,2899.000,522.000,1470.000,907.000,10740812,543702
2006,충남,25004.000,2001.000,5955.000,17048.000,72238019,1942739
2006,충북,15351.000,1528.000,4213.000,9610.000,36176510,1486522
2007,강원,13569.000,1620.000,6149.000,5800.000,32853097,1476484
2007,경기,78108.000,12425.000,28588.000,37095.000,255550481,11056824
2007,경남,26789.000,3353.000,7807.000,15629.000,85284496,3136517
2007,경북,36250.000,2667.000,7596.000,25987.000,83621419,2643478
2007,광주,6804.000,1576.000,2988.000,2240.000,27392264,1456365
2007,대구,12927.000,2727.000,5240.000,4960.000,42074727,2483535
2007,대전,7824.000,1603.000,4022.000,2199.000,29906786,1493931
2007,부산,17905.000,4024.000,7654.000,6227.000,68944140,3538031
2007,서울,42974.000,12043.000,28495.000,2436.000,309525926,10068563
2007,세종,,,,,,
2007,울산,22739.000,1206.000,2410.000,19123.000,65950587,1079299
2007,인천,19446.000,2876.000,5601.000,10969.000,64675503,2642899
2007,전남,20341.000,1895.000,4597.000,13849.000,61058914,1805854
2007,전북,15166.000,1939.000,4636.000,8591.000,37890302,1791609
2007,제주,3039.000,535.000,1540.000,964.000,11335159,543134
2007,충남,28051.000,2087.000,6368.000,19596.000,76413497,1972847
2007,충북,16679.000,1600.000,4490.000,10589.000,38575637,1494268
2008,강원,13895.000,1675.000,6404.000,5816.000,33674653,1480389
2008,경기,81848.000,12979.000,30217.000,38652.000,268221081,11266554
2008,경남,28074.000,3525.000,8318.000,16231.000,89539592,3166472
2008,경북,37164.000,2767.000,7985.000,26412.000,86102708,2639236
2008,광주,7046.000,1639.000,3175.000,2232.000,27791206,1465274
2008,대구,13266.000,2841.000,5445.000,4980.000,42614503,2480984
2008,대전,8088.000,1656.000,4205.000,2227.000,30273625,1501152
2008,부산,18709.000,4123.000,7952.000,6634.000,70785024,3514331
2008,서울,44096.000,12318.000,29499.000,2279.000,317128072,10111880
2008,세종,,,,,,
2008,울산,24132.000,1263.000,2501.000,20368.000,64401338,1091665
2008,인천,19915.000,3023.000,5945.000,10947.000,64033773,2689010
2008,전남,21869.000,1962.000,4850.000,15057.000,61841218,1794149
2008,전북,15927.000,2015.000,4855.000,9057.000,39294329,1788455
2008,제주,3184.000,551.000,1635.000,998.000,11450325,543894
2008,충남,30428.000,2198.000,6631.000,21599.000,80523469,2012542
2008,충북,17376.000,1662.000,4762.000,10952.000,37908674,1508721
2009,강원,13992.116,1725.281,6555.502,5711.333,33976932,1485148
2009,경기,83856.187,13489.458,31365.034,39001.695,273835863,11413244
2009,경남,28393.041,3624.001,8533.030,16236.010,92664822,3192481
2009,경북,37983.312,2842.913,8090.218,27050.181,85724356,2634167
2009,광주,7169.715,1657.801,3277.108,2234.806,27180608,1479146
2009,대구,13133.729,2861.856,5465.213,4806.660,41429265,2481714
2009,대전,8224.740,1679.159,4316.246,2229.335,31068315,1508164
2009,부산,18689.438,4128.794,8072.799,6487.845,68336815,3497197
2009,서울,44984.458,12536.961,30234.973,2212.524,321873162,10138867
2009,세종,,,,,,
2009,울산,24682.548,1279.602,3076.067,20326.879,63392764,1098027
2009,인천,20032.121,3128.560,6292.333,10611.228,63153061,2699716
2009,전남,23589.469,2018.101,5147.346,16424.022,61529089,1785309
2009,전북,16684.299,2079.019,5041.124,9564.156,39655937,1791713
2009,제주,3352.343,560.849,1741.161,1050.333,12158772,545602
2009,충남,32115.474,2272.078,6977.565,22865.831,82604137,2040220
2009,충북,17591.646,1711.047,4949.515,10931.084,40008263,1517120
2010,강원,14848.000,1828.000,7060.000,5960.000,35452559,1488794
2010,경기,93075.000,14496.000,34249.000,44330.000,300716256,11618962
2010,경남,31549.000,3891.000,9149.000,18509.000,98297235,3217263
2010,경북,41589.000,3053.000,8791.000,29745.000,92044050,2630443
2010,광주,7860.000,1737.000,3442.000,2681.000,30457831,1493632
2010,대구,14479.000,3057.000,5891.000,5531.000,44114977,2479781
2010,대전,8867.000,1782.000,4648.000,2437.000,33247905,1515009
2010,부산,20264.000,4359.000,8771.000,7134.000,71968834,3476658
2010,서울,47294.000,13082.000,31863.000,2349.000,333249300,10088611
2010,세종,,,,,,
2010,울산,26516.000,1385.000,2909.000,22222.000,66254235,1099035
2010,인천,21828.000,3322.000,6956.000,11550.000,69301148,2722990
2010,전남,25060.000,2132.000,5824.000,17104.000,67644440,1777282
2010,전북,18949.000,2205.000,5421.000,11323.000,41674930,1795819
2010,제주,3575.000,603.000,1850.000,1122.000,12380394,547917
2010,충남,38808.000,2424.000,7535.000,28849.000,92056862,2077637
2010,충북,19440.000,1837.000,5416.000,12187.000,43503412,1524279
2011,강원,15876.000,1845.000,7137.000,6894.000,36296644,1497944
2011,경기,97003.000,14727.000,34614.000,47662.000,313748238,11825310
2011,경남,33071.000,3928.000,9240.000,19903.000,101258402,3244712
2011,경북,44167.000,3083.000,9245.000,31839.000,94466406,2644992
2011,광주,8047.000,1744.000,3478.000,2825.000,31011787,1502051
2011,대구,14821.000,3028.000,5976.000,5817.000,45657599,2483116
2011,대전,9060.000,1804.000,4696.000,2560.000,34446444,1528356
2011,부산,20561.000,4344.000,8678.000,7539.000,73792908,3476349
2011,서울,46903.000,12952.000,31683.000,2268.000,343756313,10072235
2011,세종,,,,,,
2011,울산,28200.000,1387.000,3273.000,23540.000,71517190,1112079
2011,인천,22242.000,3390.000,7112.000,11740.000,70536942,2754739
2011,전남,27138.000,2151.000,5805.000,19182.000,66697766,1778593
2011,전북,21169.000,2231.000,5485.000,13453.000,43285951,1808733
2011,제주,3710.000,613.000,1900.000,1197.000,13231976,553845
