date,code,site,area,totalpop,dometpop,lftpop,sftpop,dmax,dmin,dfpop,nfpop,dfmax,outside,inside,internal,dailydust,pmbaddummy,pmday,pmwarn,temp,tempspr,rainfall,humidity,daydummy,dailydust_1,dailydust_2,dailydust_3
2020-01-31,11680,강남구,동남권,949016.625 ,908840.821 ,23883.023 ,16292.781 ,1215942.432 ,712785.417 ,1162857.018 ,796273.488 ,780637.231 ,250277.803 ,138244.200 ,392115.228 ,18 ,0 ,0 ,0 ,4 ,15 ,0 ,60 ,0 ,9 ,8 ,5 
2020-02-01,11680,강남구,동남권,794859.547 ,759286.085 ,19519.990 ,16053.473 ,916626.630 ,700501.802 ,876705.757 ,736397.970 ,459796.979 ,134397.629 ,123921.875 ,201477.475 ,48 ,1 ,2 ,0 ,3 ,7 ,0 ,67 ,1 ,18 ,9 ,8 
2020-02-02,11680,강남구,동남권,740814.146 ,708858.001 ,17129.816 ,14826.330 ,814826.184 ,684086.620 ,791259.985 ,704781.405 ,358464.755 ,92696.277 ,119205.839 ,146562.639 ,51 ,1 ,1 ,1 ,2 ,2 ,0 ,52 ,1 ,48 ,18 ,9 
2020-02-03,11680,강남구,동남권,932129.661 ,893889.308 ,23066.399 ,15173.954 ,1203713.701 ,688550.503 ,1154054.023 ,773612.259 ,773117.580 ,243961.264 ,139966.415 ,389189.901 ,15 ,0 ,0 ,0 ,0 ,0 ,0 ,44 ,0 ,51 ,48 ,18 
2020-02-04,11680,강남구,동남권,944596.491 ,905137.805 ,23645.339 ,15813.347 ,1213224.744 ,708570.167 ,1163560.521 ,788193.612 ,778383.510 ,245028.749 ,140443.514 ,392911.248 ,16 ,0 ,0 ,0 ,-2 ,3 ,2 ,50 ,0 ,15 ,51 ,48 
2020-02-05,11680,강남구,동남권,945007.498 ,904396.257 ,23852.091 ,16759.150 ,1211943.814 ,710537.898 ,1161042.979 ,790696.440 ,771502.797 ,241171.623 ,139702.390 ,390628.784 ,11 ,0 ,0 ,0 ,-8 ,69 ,0 ,37 ,0 ,16 ,15 ,51 
2020-02-06,11680,강남구,동남권,942699.508 ,902459.828 ,23236.926 ,17002.753 ,1203367.418 ,711554.858 ,1154401.628 ,791483.707 ,766734.542 ,240156.822 ,140244.061 ,386333.659 ,19 ,0 ,0 ,0 ,-6 ,41 ,0 ,36 ,0 ,11 ,16 ,15 
2020-02-07,11680,강남구,동남권,940099.226 ,899826.214 ,23610.037 ,16662.975 ,1196437.228 ,710983.818 ,1148384.318 ,791324.160 ,757463.584 ,235137.266 ,140023.429 ,382302.889 ,22 ,0 ,0 ,0 ,-2 ,3 ,0 ,45 ,0 ,19 ,11 ,16 
2020-02-08,11680,강남구,동남권,798053.616 ,762835.847 ,19441.498 ,15776.271 ,922328.714 ,702311.186 ,882939.741 ,737420.669 ,459917.065 ,134543.669 ,123710.943 ,201662.452 ,27 ,0 ,0 ,0 ,0 ,0 ,0 ,48 ,1 ,22 ,19 ,11 
2020-02-09,11680,강남구,동남권,742015.789 ,710114.212 ,16921.099 ,14980.478 ,816109.115 ,684423.101 ,791685.422 ,706537.480 ,360141.650 ,93371.400 ,120085.976 ,146684.273 ,23 ,0 ,0 ,0 ,-1 ,0 ,0 ,51 ,1 ,27 ,22 ,19 
2020-02-10,11680,강남구,동남권,931626.892 ,892477.852 ,23216.250 ,15932.790 ,1200528.504 ,689194.544 ,1150668.316 ,775168.733 ,765369.042 ,241343.982 ,138914.192 ,385110.868 ,29 ,0 ,0 ,0 ,4 ,16 ,0 ,49 ,0 ,23 ,27 ,22 
2020-02-11,11680,강남구,동남권,947329.756 ,907750.135 ,23580.581 ,15999.040 ,1218429.050 ,708451.029 ,1165948.206 ,791173.721 ,782407.613 ,246459.929 ,140486.386 ,395461.299 ,33 ,0 ,0 ,0 ,7 ,46 ,0 ,37 ,0 ,29 ,23 ,27 
2020-02-12,11680,강남구,동남권,948396.519 ,908403.551 ,23893.172 ,16099.796 ,1219425.007 ,712925.207 ,1165046.813 ,793646.309 ,774360.084 ,243150.064 ,138535.764 ,392674.256 ,31 ,0 ,0 ,0 ,7 ,55 ,7 ,73 ,0 ,33 ,29 ,23 
2020-02-13,11680,강남구,동남권,950940.339 ,911212.212 ,23874.248 ,15853.879 ,1218879.279 ,712795.949 ,1166733.210 ,796802.573 ,784245.439 ,247825.706 ,140237.293 ,396182.440 ,49 ,1 ,3 ,0 ,7 ,42 ,0 ,85 ,0 ,31 ,33 ,29 
2020-02-14,11680,강남구,동남권,949703.896 ,909115.258 ,24002.586 ,16586.053 ,1217393.125 ,713921.752 ,1162209.475 ,797914.197 ,778455.433 ,244367.443 ,140574.889 ,393513.101 ,57 ,1 ,2 ,0 ,8 ,66 ,0 ,70 ,0 ,49 ,31 ,33 
2020-02-15,11680,강남구,동남권,807159.047 ,770575.778 ,19825.093 ,16758.177 ,940624.125 ,704379.996 ,895994.035 ,743705.485 ,488268.081 ,149488.052 ,125167.508 ,213612.521 ,43 ,1 ,1 ,0 ,10 ,96 ,2 ,63 ,1 ,57 ,49 ,31 
2020-02-16,11680,강남구,동남권,749196.758 ,715874.833 ,17307.941 ,16013.984 ,832477.956 ,687155.316 ,803959.303 ,710080.654 ,375703.980 ,100791.217 ,120160.081 ,154752.682 ,17 ,0 ,0 ,0 ,-1 ,2 ,13 ,81 ,1 ,43 ,57 ,49 
2020-02-17,11680,강남구,동남권,933689.534 ,893930.935 ,23161.866 ,16596.734 ,1208001.705 ,690968.307 ,1155066.286 ,775563.283 ,765175.362 ,241865.113 ,137039.289 ,386270.959 ,17 ,0 ,0 ,0 ,-6 ,35 ,1 ,64 ,0 ,17 ,43 ,57 
2020-02-18,11680,강남구,동남권,954170.516 ,913647.306 ,24193.652 ,16329.558 ,1227590.118 ,710796.141 ,1175623.955 ,795989.488 ,788836.577 ,250457.025 ,140027.471 ,398352.081 ,14 ,0 ,0 ,0 ,-4 ,17 ,0 ,44 ,0 ,17 ,17 ,43 
2020-02-19,11680,강남구,동남권,955450.360 ,915731.387 ,24278.890 ,15440.083 ,1230351.001 ,714220.355 ,1174736.408 ,798817.468 ,790087.401 ,250583.294 ,139461.884 ,400042.223 ,23 ,0 ,0 ,0 ,1 ,1 ,0 ,57 ,0 ,14 ,17 ,17 
2020-02-20,11680,강남구,동남권,954387.214 ,913643.404 ,24157.648 ,16586.162 ,1224199.222 ,713242.752 ,1170700.179 ,799877.953 ,785054.294 ,247589.878 ,139027.405 ,398437.011 ,40 ,1 ,2 ,0 ,5 ,21 ,0 ,63 ,0 ,23 ,14 ,17 
2020-02-21,11680,강남구,동남권,945916.496 ,904511.257 ,24176.799 ,17228.440 ,1207321.392 ,718017.679 ,1154144.749 ,797182.030 ,761822.219 ,237989.889 ,138128.504 ,385703.826 ,41 ,1 ,1 ,1 ,7 ,45 ,4 ,66 ,0 ,40 ,23 ,14 
2020-02-22,11680,강남구,동남권,799374.364 ,762714.176 ,19282.606 ,17377.581 ,917438.092 ,702654.417 ,882360.911 ,740098.259 ,445152.851 ,129150.451 ,121612.325 ,194390.074 ,32 ,0 ,0 ,1 ,4 ,16 ,3 ,62 ,1 ,41 ,40 ,23 
2020-02-23,11680,강남구,동남권,736747.357 ,704692.348 ,16751.691 ,15303.318 ,797922.529 ,686458.902 ,779132.315 ,706472.387 ,334662.415 ,84632.988 ,115685.643 ,134343.785 ,10 ,0 ,0 ,0 ,3 ,6 ,0 ,49 ,1 ,32 ,41 ,40 
2020-02-24,11680,강남구,동남권,908934.275 ,871269.890 ,22604.576 ,15059.809 ,1166901.488 ,687240.735 ,1117105.752 ,760240.363 ,716563.972 ,224462.045 ,127220.524 ,364881.403 ,18 ,0 ,0 ,0 ,7 ,49 ,0 ,52 ,0 ,10 ,32 ,41 
2020-02-25,11680,강남구,동남권,906354.375 ,869160.635 ,23002.575 ,14191.165 ,1149647.049 ,700327.157 ,1101821.276 ,766735.159 ,686514.952 ,213010.602 ,124199.146 ,349305.205 ,9 ,0 ,0 ,0 ,7 ,45 ,17 ,74 ,0 ,18 ,10 ,32 
2020-02-26,11680,강남구,동남권,899427.074 ,864191.375 ,22178.082 ,13057.617 ,1128293.009 ,704427.093 ,1084108.474 ,767511.788 ,670403.479 ,206276.425 ,123681.437 ,340445.617 ,9 ,0 ,0 ,0 ,6 ,41 ,0 ,60 ,0 ,9 ,18 ,10 
2020-02-27,11680,강남구,동남권,887640.766 ,853177.375 ,21637.308 ,12826.084 ,1106792.866 ,700137.687 ,1063807.386 ,761807.466 ,651349.834 ,199982.810 ,122918.034 ,328448.991 ,5 ,0 ,0 ,0 ,6 ,37 ,0 ,54 ,0 ,9 ,9 ,18 
2020-02-28,11680,강남구,동남권,878400.077 ,845084.462 ,21648.915 ,11666.701 ,1089845.472 ,699488.441 ,1046985.656 ,757981.807 ,625281.660 ,189450.705 ,119756.614 ,316074.341 ,16 ,0 ,0 ,0 ,5 ,20 ,4 ,79 ,0 ,5 ,9 ,9 
2020-02-29,11680,강남구,동남권,746420.607 ,717127.535 ,18240.349 ,11052.723 ,820068.190 ,681865.323 ,797430.202 ,709985.182 ,355472.142 ,90143.162 ,110854.926 ,154474.054 ,16 ,0 ,0 ,0 ,8 ,59 ,1 ,69 ,1 ,16 ,5 ,9 
2020-03-01,11680,강남구,동남권,700656.532 ,675456.984 ,15881.861 ,9317.688 ,733115.903 ,670705.171 ,722706.493 ,684906.560 ,260772.163 ,53975.950 ,104422.787 ,102373.426 ,30 ,0 ,0 ,0 ,6 ,34 ,0 ,72 ,1 ,16 ,16 ,5 
2020-03-02,11680,강남구,동남권,866165.331 ,835712.653 ,20657.565 ,9795.114 ,1082577.050 ,674106.274 ,1040775.352 ,741443.888 ,638654.470 ,189512.608 ,126321.800 ,322820.063 ,28 ,0 ,0 ,0 ,3 ,12 ,0 ,55 ,0 ,30 ,16 ,16 
2020-03-03,11680,강남구,동남권,874566.161 ,843711.211 ,21014.828 ,9840.122 ,1087331.943 ,692749.738 ,1044675.004 ,753059.844 ,634216.241 ,190722.340 ,121306.053 ,322187.847 ,33 ,0 ,0 ,0 ,5 ,23 ,0 ,57 ,0 ,28 ,30 ,16 
2020-03-04,11680,강남구,동남권,875570.821 ,844003.685 ,21268.852 ,10298.284 ,1086857.475 ,698455.628 ,1043028.073 ,755958.497 ,632527.054 ,188802.003 ,122098.762 ,321626.289 ,33 ,0 ,0 ,0 ,2 ,5 ,0 ,53 ,0 ,33 ,28 ,30 
