serial,lat,lon,temp
V02Q1940492,37.528187 ,126.860107 ,25.171862 
V02Q1940494,37.587447 ,126.944521 ,25.076454 
V02Q1940495,37.461455 ,126.890019 ,25.194652 
V02Q1940496,37.538776 ,127.059761 ,25.607739 
V02Q1940497,37.538312 ,126.947837 ,25.418184 
V02Q1940498,37.560782 ,126.995546 ,25.332564 
V02Q1940499,37.574960 ,126.970272 ,24.696543 
V02Q1940500,37.561553 ,127.018749 ,25.851329 
V02Q1940501,37.552003 ,127.036324 ,25.767459 
V02Q1940502,37.540815 ,127.049564 ,24.990459 
V02Q1940503,37.554011 ,127.068898 ,25.594491 
V02Q1940504,37.559059 ,127.028961 ,25.240918 
V02Q1940506,37.535090 ,127.093221 ,25.649487 
V02Q1940507,37.531277 ,127.123271 ,25.907630 
V02Q1940508,37.558188 ,126.964331 ,24.793320 
V02Q1940509,37.586744 ,126.947329 ,24.990484 
V02Q1940511,37.552655 ,127.029032 ,24.541175 
V02Q1940512,37.475562 ,126.934891 ,25.018920 
V02Q1940513,37.494180 ,127.154991 ,25.724511 
V02Q1940515,37.501749 ,126.850770 ,25.012149 
V02Q1940516,37.565061 ,126.954334 ,24.800463 
V02Q1940517,37.482486 ,126.926497 ,26.121997 
V02Q1940518,37.515084 ,127.013857 ,25.354301 
V02Q1940519,37.547192 ,126.934407 ,25.600592 
V02Q1940520,37.578226 ,126.923232 ,25.580927 
V02Q1940521,37.548763 ,126.925523 ,24.959688 
V02Q1940522,37.577075 ,127.012367 ,24.611746 
V02Q1940524,37.554355 ,126.968131 ,25.580502 
V02Q1940526,37.546985 ,127.021579 ,25.131155 
V02Q1940527,37.568986 ,127.021883 ,25.521782 
V02Q1940528,37.555308 ,126.947001 ,25.836262 
V02Q1940530,37.542144 ,127.047752 ,25.352513 
V02Q1940531,37.554889 ,126.936237 ,25.572372 
V02Q1940532,37.470728 ,126.921795 ,24.918468 
V02Q1940533,37.483058 ,126.907969 ,25.774481 
V02Q1940534,37.555722 ,126.940290 ,25.196051 
V02Q1940536,37.563561 ,126.997220 ,25.357970 
V02Q1940538,37.486278 ,126.936066 ,25.505475 
V02Q1940541,37.562769 ,126.976765 ,24.575028 
V02Q1940542,37.535393 ,126.944437 ,24.596817 
V02Q1940543,37.590102 ,126.944662 ,24.802979 
V02Q1940544,37.561640 ,127.001153 ,25.710567 
V02Q1940545,37.546306 ,127.043642 ,25.340354 
V02Q1940546,37.564448 ,127.022110 ,25.284825 
V02Q1940548,37.491246 ,126.930777 ,25.621960 
V02Q1940551,37.568775 ,126.960883 ,25.093444 
V02Q1940552,37.476394 ,126.915670 ,24.560395 
V02Q1940553,37.560827 ,126.996001 ,25.494849 
V02Q1940554,37.557286 ,127.009175 ,24.953751 
V02Q1940556,37.540242 ,127.054675 ,24.724301 
V02Q1940557,37.469277 ,126.931636 ,24.427110 
V02Q1940558,37.479704 ,126.947474 ,25.311099 
V02Q1940559,37.532937 ,126.991220 ,25.331297 
V02Q1940560,37.492477 ,126.956311 ,25.672934 
V02Q1940561,37.485193 ,126.918737 ,25.643497 
V02Q1940563,37.564130 ,127.031440 ,25.337483 
V02Q1940564,37.560860 ,127.008563 ,25.878366 
V02Q1940565,37.541950 ,127.053612 ,25.293724 
V02Q1940567,37.568056 ,126.996510 ,25.105706 
V02Q1940569,37.569421 ,126.916755 ,24.832675 
V02Q1940570,37.554359 ,127.008043 ,24.702928 
V02Q1940572,37.521118 ,126.971791 ,24.840241 
V02Q1940573,37.568391 ,127.005439 ,26.123786 
V02Q1940576,37.577177 ,126.896669 ,25.192324 
V02Q1940577,37.523643 ,126.993654 ,24.529561 
V02Q1940579,37.559629 ,126.897669 ,24.811187 
V02Q1940580,37.566730 ,127.051058 ,24.844200 
V02Q1940581,37.561425 ,126.901620 ,25.815724 
V02Q1940582,37.548897 ,127.030961 ,24.700413 
V02Q1940584,37.549955 ,126.978020 ,25.706178 
V02Q1940585,37.558823 ,126.946573 ,25.457900 
V02Q1940586,37.552878 ,126.900901 ,25.149682 
V02Q1940590,37.560724 ,127.048425 ,25.697265 
V02Q1940592,37.570559 ,126.959673 ,25.010711 
V02Q1940594,37.549232 ,127.053878 ,25.926412 
V02Q1940596,37.559046 ,126.980312 ,24.463358 
V02Q1940597,37.556195 ,126.981161 ,24.989294 
V02Q1940598,37.551728 ,127.012144 ,26.231004 
V02Q1940600,37.524446 ,126.956843 ,24.991327 
V02Q1940601,37.560265 ,127.048015 ,25.804496 
V02Q1940602,37.554624 ,126.980559 ,23.911758 
V02Q1940603,37.563368 ,127.055964 ,25.410304 
V02Q1940605,37.554430 ,126.915440 ,25.445327 
V02Q1940606,37.554459 ,126.937692 ,25.880010 
V02Q1940607,37.558871 ,127.038553 ,25.195504 
V02Q1940609,37.556275 ,126.912239 ,25.516026 
V02Q1940611,37.545528 ,126.914757 ,25.264568 
V02Q1940612,37.578076 ,126.895193 ,25.465201 
V02Q1940614,37.537542 ,126.871767 ,25.523935 
V02Q1940617,37.541972 ,127.016371 ,25.405175 
V02Q1940618,37.557133 ,126.954403 ,25.549811 
V02Q1940619,37.546185 ,126.956110 ,25.664968 
